,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8431265547310701,0.9440906770161591,0.6,0.72
1,1,0.925167260034021,0.9315003418884725,0.76,0.74
2,2,0.8918639540184673,0.9174419674752146,0.62,0.72
3,3,0.9233000209351893,0.8546932070672287,0.72,0.62
4,4,0.8752532568302316,0.9187568038219414,0.7,0.76
5,5,0.8782039973655816,0.9485903771630291,0.6599999999999999,0.76
6,6,0.9015583885421432,0.8866584098989078,0.7,0.56
7,7,0.8781769432234796,0.9631917796221394,0.6799999999999999,0.78
8,8,0.8876685113950147,0.8693875783545966,0.6799999999999999,0.62
9,9,0.8960417851774644,0.8647637525145979,0.76,0.72
