epoch,train_loss,train_acc,val_loss,val_acc
0,1.1094,0.2881,3.2925,0.2319
1,0.9068,0.3678,3.1458,0.2884
2,0.7734,0.4283,3.7381,0.3233
3,0.7093,0.4533,3.6840,0.3216
4,0.6468,0.4770,3.8255,0.3135
5,0.5928,0.4955,3.8234,0.3128
6,0.5396,0.5168,3.9020,0.3453
7,0.5008,0.5332,3.6710,0.3544
8,0.4638,0.5517,3.9422,0.3549
9,0.4324,0.5639,3.8288,0.3729
10,0.4046,0.5790,3.9162,0.3643
11,0.3732,0.5914,3.8330,0.3691
12,0.3500,0.6025,3.8324,0.3749
13,0.3337,0.6119,3.9158,0.3896
14,0.3146,0.6218,4.1614,0.3896
15,0.2937,0.6300,4.0627,0.3997
16,0.2875,0.6326,3.8457,0.3875
17,0.2703,0.6421,3.8463,0.3991
18,0.2609,0.6493,3.9539,0.4028
19,0.2533,0.6512,3.9349,0.4029
20,0.2479,0.6554,4.1593,0.3886
21,0.2406,0.6583,3.9787,0.4009
22,0.2363,0.6595,4.1053,0.3918
23,0.2282,0.6630,4.1715,0.4030
24,0.2240,0.6666,4.0365,0.4003
25,0.2222,0.6674,3.9929,0.4103
26,0.2196,0.6689,3.9750,0.4022
27,0.2139,0.6706,4.0116,0.4018
28,0.2116,0.6716,3.9268,0.4009
29,0.2094,0.6743,3.9015,0.4110
30,0.2071,0.6739,4.1176,0.4032
31,0.2083,0.6738,4.0557,0.4022
32,0.2042,0.6763,4.0828,0.4055
33,0.2039,0.6763,4.0822,0.4025
34,0.2043,0.6760,4.1087,0.4059
35,0.2035,0.6764,4.0587,0.4081
36,0.1999,0.6777,4.1184,0.4025
37,0.2004,0.6779,4.0075,0.4113
38,0.2017,0.6770,4.0260,0.4032
39,0.2000,0.6786,4.0776,0.4071
40,0.2002,0.6774,4.1149,0.4065
41,0.1994,0.6792,4.0414,0.4080
42,0.2002,0.6792,4.0640,0.4068
43,0.2014,0.6788,4.1783,0.4019
44,0.1991,0.6789,3.9740,0.4081
45,0.1954,0.6794,3.9884,0.4033
46,0.1979,0.6782,4.1109,0.4033
47,0.1983,0.6788,4.0537,0.4064
48,0.1989,0.6791,4.1309,0.4053
49,0.1957,0.6802,4.1077,0.4038
50,0.1990,0.6785,3.9900,0.4065
51,0.1993,0.6782,4.0571,0.4042
52,0.1999,0.6779,4.1048,0.4053
53,0.2005,0.6790,3.9965,0.4078
54,0.1993,0.6778,4.0562,0.4094
55,0.2012,0.6783,4.0455,0.4095
56,0.1966,0.6792,4.0797,0.4042
57,0.1972,0.6797,4.0660,0.4061
58,0.2000,0.6779,4.0717,0.4086
59,0.1992,0.6791,4.0601,0.4040
60,0.2015,0.6785,4.0759,0.4025
61,0.1985,0.6785,4.0670,0.4080
62,0.1979,0.6791,4.1171,0.4037
63,0.1998,0.6786,4.0732,0.4071
64,0.1970,0.6790,4.0828,0.4037
65,0.2017,0.6770,3.9870,0.4060
66,0.1981,0.6793,4.0683,0.4084
67,0.1994,0.6786,4.1108,0.4024
68,0.1978,0.6787,4.0317,0.4060
69,0.1955,0.6801,4.0408,0.4108
70,0.1969,0.6788,4.1001,0.4063
71,0.1986,0.6800,4.0333,0.4070
72,0.1980,0.6785,4.0261,0.4068
73,0.1985,0.6801,4.0903,0.4053
74,0.1981,0.6791,4.0202,0.4100
75,0.1949,0.6808,3.9905,0.4060
76,0.1984,0.6773,4.0874,0.4074
77,0.1978,0.6794,4.1040,0.4081
78,0.1993,0.6795,4.0333,0.4083
79,0.1962,0.6799,4.0842,0.4048
80,0.1983,0.6787,4.1105,0.4068
81,0.1990,0.6793,4.1099,0.4043
82,0.1967,0.6809,4.0467,0.4044
83,0.1969,0.6796,4.0827,0.4049
84,0.1993,0.6791,4.0339,0.4054
85,0.1976,0.6791,4.0888,0.4032
86,0.2020,0.6774,4.0918,0.4047
87,0.1950,0.6819,4.0733,0.4037
88,0.2003,0.6791,4.0407,0.4044
89,0.1988,0.6788,4.0306,0.4065
90,0.1993,0.6795,4.0082,0.4045
91,0.2011,0.6774,4.0450,0.4055
92,0.1964,0.6794,3.9756,0.4047
93,0.1981,0.6800,4.0370,0.4065
94,0.1972,0.6771,4.0431,0.4058
95,0.1965,0.6795,4.0157,0.4079
96,0.1994,0.6783,4.0244,0.4053
97,0.2003,0.6779,4.1059,0.4058
98,0.1992,0.6790,4.0671,0.4057
99,0.2009,0.6778,4.0900,0.4032
