epoch,train_loss,train_acc,val_loss,val_acc
0,1.5563,0.2891,1.5478,0.3568
1,1.3851,0.3960,1.8812,0.3764
2,1.2693,0.4604,1.8717,0.3418
3,1.1766,0.5096,1.7939,0.3608
4,1.0781,0.5603,1.7140,0.4035
5,0.9903,0.5996,1.8148,0.3912
6,0.9084,0.6350,1.9197,0.4175
7,0.8415,0.6631,2.2000,0.4145
8,0.7888,0.6856,2.2261,0.4118
9,0.7477,0.7014,2.1655,0.4317
10,0.7036,0.7201,2.5974,0.4333
11,0.6716,0.7358,2.4666,0.4451
12,0.6438,0.7456,2.2874,0.4334
13,0.6164,0.7572,2.3124,0.4378
14,0.5916,0.7655,2.5081,0.4458
15,0.5742,0.7736,2.6616,0.4379
