epoch,train_loss,train_acc,val_loss,val_acc
0,1.5798,0.2781,1.5578,0.2679
1,1.4145,0.3831,1.5971,0.3605
2,1.2953,0.4499,1.8758,0.3191
3,1.2144,0.4900,1.6680,0.3469
4,1.1331,0.5376,1.8036,0.3563
5,1.0523,0.5726,1.6148,0.3858
6,0.9830,0.6023,1.9813,0.3847
7,0.9175,0.6321,1.9568,0.4103
8,0.8669,0.6539,1.9388,0.4168
9,0.8171,0.6749,2.1530,0.4114
10,0.7738,0.6908,2.2246,0.4179
11,0.7252,0.7105,2.0487,0.4479
12,0.6913,0.7280,2.1289,0.4460
13,0.6570,0.7399,2.2233,0.4493
14,0.6271,0.7516,2.5119,0.4429
15,0.6056,0.7610,2.6345,0.4436
16,0.5810,0.7689,2.4648,0.4413
17,0.5619,0.7758,2.8346,0.4318
18,0.5411,0.7877,2.5492,0.4504
19,0.5319,0.7911,2.7265,0.4504
20,0.5149,0.7983,2.6944,0.4375
21,0.5018,0.8022,2.7892,0.4619
22,0.4949,0.8060,2.6484,0.4507
23,0.4894,0.8066,2.5868,0.4558
24,0.4756,0.8114,2.5967,0.4468
25,0.4696,0.8144,2.7709,0.4460
26,0.4653,0.8180,2.9077,0.4515
27,0.4571,0.8200,2.7383,0.4554
28,0.4601,0.8183,2.6898,0.4418
29,0.4517,0.8243,2.8203,0.4433
30,0.4531,0.8201,2.6223,0.4451
31,0.4453,0.8261,2.8949,0.4513
32,0.4460,0.8265,2.8020,0.4510
33,0.4448,0.8237,2.7656,0.4529
34,0.4382,0.8284,2.7347,0.4499
35,0.4388,0.8273,2.8245,0.4496
36,0.4340,0.8311,2.8403,0.4427
37,0.4337,0.8296,2.8107,0.4518
38,0.4354,0.8301,3.0022,0.4518
39,0.4358,0.8288,2.8347,0.4543
40,0.4358,0.8286,2.9922,0.4477
41,0.4338,0.8310,2.7822,0.4547
42,0.4347,0.8289,2.7662,0.4418
43,0.4272,0.8340,2.8471,0.4479
44,0.4319,0.8316,2.9424,0.4491
45,0.4306,0.8329,2.8666,0.4451
46,0.4272,0.8311,2.8470,0.4485
47,0.4300,0.8314,2.7850,0.4543
48,0.4365,0.8289,2.9406,0.4494
49,0.4313,0.8334,2.7601,0.4519
50,0.4299,0.8332,2.8715,0.4568
51,0.4297,0.8314,3.0061,0.4504
52,0.4315,0.8315,2.9462,0.4513
53,0.4332,0.8311,2.8336,0.4518
54,0.4292,0.8316,2.7639,0.4551
55,0.4281,0.8335,2.8087,0.4483
56,0.4314,0.8317,2.7746,0.4566
57,0.4275,0.8325,2.9325,0.4471
58,0.4323,0.8304,2.8124,0.4504
59,0.4321,0.8309,2.8180,0.4518
60,0.4284,0.8310,2.7808,0.4558
61,0.4333,0.8295,2.8318,0.4474
62,0.4296,0.8323,2.7450,0.4472
63,0.4293,0.8313,2.9257,0.4524
64,0.4281,0.8313,2.9549,0.4524
65,0.4305,0.8321,2.8726,0.4511
66,0.4255,0.8365,2.9519,0.4416
67,0.4352,0.8299,2.8428,0.4508
68,0.4303,0.8311,2.9741,0.4497
69,0.4304,0.8311,2.7686,0.4471
70,0.4276,0.8325,2.9065,0.4491
71,0.4289,0.8329,2.8544,0.4458
72,0.4292,0.8328,2.8413,0.4541
73,0.4320,0.8320,2.9290,0.4566
74,0.4296,0.8309,2.9379,0.4552
75,0.4296,0.8320,2.8530,0.4499
76,0.4308,0.8314,2.8857,0.4504
77,0.4327,0.8309,2.9417,0.4483
78,0.4271,0.8328,2.8897,0.4494
79,0.4287,0.8336,2.8866,0.4444
80,0.4321,0.8304,2.8525,0.4504
81,0.4291,0.8335,2.8395,0.4555
82,0.4308,0.8315,2.7821,0.4479
83,0.4297,0.8302,2.7944,0.4524
84,0.4278,0.8332,2.8745,0.4563
85,0.4309,0.8322,2.8835,0.4526
86,0.4302,0.8313,2.8030,0.4547
87,0.4277,0.8317,2.8971,0.4519
88,0.4302,0.8320,2.9278,0.4455
89,0.4301,0.8313,2.8957,0.4551
90,0.4273,0.8309,2.8879,0.4458
91,0.4308,0.8303,2.7169,0.4554
92,0.4268,0.8321,2.7877,0.4479
93,0.4333,0.8299,2.8984,0.4463
94,0.4314,0.8302,2.8387,0.4537
95,0.4361,0.8287,2.7932,0.4538
96,0.4278,0.8337,2.9508,0.4485
97,0.4302,0.8311,2.8291,0.4485
98,0.4282,0.8312,2.8161,0.4471
99,0.4283,0.8336,2.8149,0.4521
