epoch,train_loss,train_acc,val_loss,val_acc
0,1.3652,0.2915,2.0234,0.1688
1,1.2314,0.3349,1.7931,0.2816
2,1.0667,0.4248,1.9103,0.3142
3,0.9531,0.4826,1.7361,0.3694
4,0.8615,0.5262,1.8257,0.3743
5,0.7822,0.5672,2.0086,0.3993
6,0.7201,0.5920,1.9023,0.4220
7,0.6573,0.6183,2.1605,0.4180
8,0.6123,0.6411,1.9220,0.4364
9,0.5642,0.6599,2.0749,0.4404
10,0.5280,0.6763,2.1837,0.4167
11,0.4961,0.6904,2.3356,0.4122
12,0.4692,0.7054,2.2143,0.4457
13,0.4490,0.7111,2.3338,0.4399
14,0.4230,0.7271,2.4442,0.4273
15,0.4083,0.7331,2.4443,0.4327
16,0.3931,0.7419,2.4807,0.4391
17,0.3810,0.7477,2.5056,0.4510
18,0.3661,0.7546,2.5862,0.4424
19,0.3605,0.7580,2.6024,0.4471
20,0.3511,0.7639,2.5411,0.4360
21,0.3409,0.7702,2.7221,0.4292
22,0.3351,0.7714,2.5994,0.4558
23,0.3305,0.7756,2.6342,0.4426
24,0.3234,0.7780,2.6270,0.4439
25,0.3220,0.7772,2.7622,0.4447
26,0.3169,0.7818,2.8115,0.4378
27,0.3126,0.7826,2.7172,0.4391
28,0.3124,0.7840,2.7157,0.4369
29,0.3073,0.7866,2.7521,0.4445
30,0.3048,0.7865,2.7649,0.4431
31,0.3036,0.7891,2.7474,0.4470
32,0.3069,0.7876,2.7588,0.4470
33,0.3043,0.7892,2.7644,0.4444
34,0.3008,0.7900,2.8017,0.4359
35,0.3009,0.7912,2.8257,0.4436
36,0.2998,0.7909,2.7114,0.4434
37,0.2988,0.7908,2.7698,0.4435
38,0.2991,0.7899,2.7980,0.4420
39,0.2985,0.7924,2.7697,0.4500
40,0.2987,0.7922,2.7711,0.4412
41,0.2976,0.7919,2.6682,0.4497
42,0.2961,0.7918,2.7171,0.4490
43,0.2959,0.7912,2.8011,0.4460
44,0.2973,0.7926,2.7403,0.4450
45,0.2968,0.7949,2.7497,0.4470
46,0.2994,0.7927,2.7657,0.4446
47,0.2951,0.7954,2.7596,0.4451
48,0.2957,0.7939,2.8337,0.4399
49,0.2957,0.7943,2.7066,0.4497
50,0.2947,0.7940,2.7058,0.4437
51,0.2965,0.7942,2.7044,0.4492
52,0.2947,0.7920,2.7293,0.4486
53,0.2963,0.7922,2.8113,0.4437
54,0.2962,0.7936,2.6856,0.4482
55,0.2947,0.7934,2.6732,0.4491
56,0.2975,0.7931,2.7339,0.4437
57,0.2977,0.7933,2.7553,0.4516
58,0.2947,0.7933,2.8118,0.4446
59,0.2957,0.7939,2.7156,0.4481
60,0.2966,0.7931,2.8096,0.4481
61,0.2964,0.7917,2.8280,0.4430
62,0.2966,0.7924,2.7445,0.4492
63,0.2939,0.7937,2.7645,0.4461
64,0.2973,0.7928,2.7795,0.4445
65,0.2961,0.7934,2.7003,0.4470
66,0.2942,0.7945,2.7634,0.4439
67,0.2973,0.7923,2.7373,0.4452
68,0.2955,0.7934,2.7478,0.4426
69,0.2980,0.7923,2.7464,0.4439
70,0.2969,0.7960,2.7599,0.4457
71,0.2967,0.7938,2.7510,0.4487
72,0.2949,0.7924,2.7467,0.4464
73,0.2933,0.7935,2.7207,0.4505
74,0.2957,0.7926,2.7888,0.4459
75,0.2940,0.7928,2.7838,0.4480
76,0.2999,0.7937,2.5705,0.4549
77,0.2990,0.7913,2.7954,0.4385
78,0.2966,0.7922,2.7729,0.4492
79,0.2989,0.7932,2.8132,0.4406
80,0.2970,0.7932,2.7682,0.4455
81,0.2959,0.7946,2.8500,0.4450
82,0.2974,0.7923,2.8156,0.4471
83,0.2945,0.7920,2.7678,0.4412
84,0.2971,0.7928,2.7417,0.4501
85,0.2962,0.7934,2.8002,0.4425
86,0.2948,0.7951,2.7633,0.4472
87,0.2957,0.7961,2.7615,0.4466
88,0.2963,0.7929,2.7417,0.4508
89,0.2980,0.7916,2.8511,0.4388
90,0.2970,0.7939,2.7437,0.4478
91,0.2953,0.7937,2.8458,0.4421
92,0.2933,0.7938,2.6057,0.4529
93,0.2955,0.7934,2.6065,0.4525
94,0.2959,0.7930,2.7937,0.4502
95,0.2967,0.7922,2.7555,0.4449
96,0.2977,0.7916,2.7818,0.4441
97,0.2989,0.7931,2.7475,0.4512
98,0.2954,0.7933,2.6969,0.4497
99,0.2992,0.7915,2.7190,0.4459
